"Date","Description","Amount","Transaction.Type","Category","Account.Name"
2012-11-06,"CHECKCARD 1105 CARS DAWYDIAK INC. - SE SAN FRANCISCOCA...",13.46,"debit","Service & Parts","Hour Monet 7291"
2012-11-05,"PAYPAL DES:INST XFER ID:4S8226DZEH9GS INDN:EVAN STRATFORD CO ID:PAYPALSI66...",10,"debit","Shopping","my account 0020"
2012-11-05,"CHECKCARD 1101 CLIPPER SERVICE 877-878-8883 CA...",20,"debit","Public Transportation","Hour Monet 7291"
2012-11-05,"CHECKCARD 1104 SQ *FIVE STAR VIDEO 155 Berkeley CA 24692162309000825171894",6,"debit","Movies & DVDs","Hour Monet 7291"
2012-11-05,"CHECKCARD 1103 BERKELEY ECONO GAS BERKELEY CA 24801972309006000032611",3.84,"debit","Gas & Fuel","Hour Monet 7291"
2012-11-05,"BKOFAMERICA ATM 11/05 #000008632 DEPOSIT BERKELEY MAIN BERKELEY CA",200,"credit","Income","Hour Monet 7291"
2012-11-05,"MONTEREY MARKE 11/03 #000766306 PURCHASE 1550 HOPKINS STRE BERKELEY CA",44.8,"debit","Groceries","Hour Monet 7291"
2012-11-05,"SAFEWAY STORE 11/02 #000076086 PURCHASE 1444 SHATTUCK PLA BERKELEY CA",9.25,"debit","Groceries","Hour Monet 7291"
2012-11-05,"SAFEWAY STORE 11/02 #000076086 PURCHASE 1444 SHATTUCK PLA BERKELEY CA",25.1,"debit","Groceries","Hour Monet 7291"
2012-11-05,"CHECKCARD 1104 ZIPCAR INC 866-494-7227 MA 24231682310200011873293",2.5,"debit","Rental Car & Taxi","Hour Monet 7291"
2012-11-05,"DOUBLE AA GAS 11/05 #000758400 PURCHASE 1101 JUNIPERO SER San Francisc CA",5,"debit","Gas & Fuel","Hour Monet 7291"
2012-11-02,"Chking Acct Overdraft Settlement Credit",3.64,"credit","Bank Fee","my account 0020"
2012-11-02,"Check 118",1759.05,"debit","Electronics & Software","Hour Monet 7291"
2012-11-01,"PAYPAL DES:INST XFER ID:4S8226DMSM3DJ INDN:EVAN STRATFORD CO ID:PAYPALSI66...",10,"debit","Shopping","my account 0020"
2012-10-31,"CHECKCARD 1029 CLIPPER SERVICE 877-878-8883 CA...",20,"debit","Public Transportation","Hour Monet 7291"
2012-10-31,"CHECKCARD 1029 CLIPPER SERVICE 877-878-8883 CA...",20,"debit","Public Transportation","Hour Monet 7291"
2012-10-31,"BKOFAMERICA ATM 10/30 #000005069 WITHDRWL MISSION PLAZA SAN FRANCISCO...",60,"debit","Cash & ATM","Hour Monet 7291"
2012-10-31,"CISECO PLC DES:IAT PAYPAL ID:5ST226DGN2YL6 INDN:VALKYRIE SAVAGE...",9.46,"debit","Shopping","Hour Monet 7291"
2012-10-30,"Online Banking transfer to CHK 7291 Confirmation# 1864387220",4916.19,"debit","Transfer","my account 0020"
2012-10-30,"FOREIGN TRANSACTION FE C_FEES",2.9,"debit","Service Fee","Indiana University Alumni Association Inc. MasterCard"
2012-10-30,"PASSPORT OFFICE NPS,MP",96.97,"debit","Service Fee","Indiana University Alumni Association Inc. MasterCard"
2012-10-30,"Online Banking transfer from CHK 0020 Confirmation# 1864387220",4916.19,"credit","Transfer","Hour Monet 7291"
2012-10-30,"CHECKCARD 1029 UCB UNIVERSITY HLTH SER BERKELEY CA 24391212303286799900235",20.4,"debit","Doctor","Hour Monet 7291"
2012-10-29,"METREON/IMAX 07023252",36,"debit","Movies & DVDs","BankAmericard Cash Rewards Signature Visa"
2012-10-29,"SAFEWAY STORE 10/27 #000070012 PURCHASE 1444 SHATTUCK PLA BERKELEY CA",17.39,"debit","Groceries","Hour Monet 7291"
2012-10-29,"MONTEREY MARKE 10/27 #000144572 PURCHASE 1550 HOPKINS STRE BERKELEY CA",21.82,"debit","Groceries","Hour Monet 7291"
2012-10-29,"PAYPAL DES:INST XFER ID:5ST226D9NZ6HY INDN:VALKYRIE SAVAGE CO ID:PAYPALSI66...",1381.03,"debit","Mortgage & Rent","Hour Monet 7291"
2012-10-29,"MONTEREY MARKE 10/28 #000493433 PURCHASE 1550 HOPKINS STRE BERKELEY CA",64.84,"debit","Groceries","Hour Monet 7291"
2012-10-29,"CHECKCARD 1026 CHICAGO BLACKH20250130 CHICAGO IL 24164072301531214748361",23.24,"debit","Restaurants","Hour Monet 7291"
2012-10-26,"SAFEWAY STORE 10/26 #000720091 PURCHASE 1444 SHATTUCK PLA BERKELEY CA",11.67,"debit","Groceries","Hour Monet 7291"
2012-10-26,"Angela Savage Bill Payment",80,"debit","Bills & Utilities","Hour Monet 7291"
2012-10-25,"Interest Charged on Purchases C_BANKCHARGES",0,"credit","Interest Income","BankAmericard Cash Rewards Signature Visa"
2012-10-25,"Interest Charged on Balance Transfers C_BANKCHARGES",0,"credit","Interest Income","BankAmericard Cash Rewards Signature Visa"
2012-10-25,"Interest Charged on Bank Cash Advances C_BANKCHARGES",0,"credit","Interest Income","BankAmericard Cash Rewards Signature Visa"
2012-10-25,"Interest Charged on Dir Dep&Chk CashAdv C_BANKCHARGES",0,"credit","Interest Income","BankAmericard Cash Rewards Signature Visa"
2012-10-25,"CHECKCARD 1024 MOTOR MAT CAR WASH JOLIET IL 24692162299000783938252",12,"debit","Service & Parts","Hour Monet 7291"
2012-10-25,"CHECKCARD 1023 CLIPPER SERVICE 877-878-8883 CA...",20,"debit","Public Transportation","Hour Monet 7291"
2012-10-24,"CHECKCARD 1023 Wakaba SOUTH SAN FRACA 24013392297001300570484",9.35,"debit","Restaurants","Hour Monet 7291"
2012-10-23,"Online scheduled transfer from CHK 7291 Confirmation# 4899145190",2100,"credit","Transfer","my account 0020"
2012-10-23,"CHECKCARD 1021 ALASKA AIR 02770981356 SEATTLE WA 24431062296331900015232",808.4,"debit","Air Travel","Hour Monet 7291"
2012-10-23,"MACY'S 28 10/23 #000002636 PURCHASE 3340 MALL LOOP JOLIET IL",39.97,"debit","Clothing","Hour Monet 7291"
2012-10-23,"CHECKCARD 1021 BERKELEY ECONO GAS BERKELEY CA 24801972296006000632571",4.47,"debit","Gas & Fuel","Hour Monet 7291"
2012-10-23,"Online scheduled transfer to CHK 0020 Confirmation# 4899145190",2100,"debit","Transfer","Hour Monet 7291"
2012-10-23,"CHECKCARD 1021 ALASKA AIR 02770981356 SEATTLE WA 24431062296331900015240",808.4,"debit","Air Travel","Hour Monet 7291"
2012-10-23,"CHECKCARD 1022 SFI*PHOTOSBYSHUTTERFLY 800-986-1065 CA...",11.52,"debit","Hobbies","Hour Monet 7291"
2012-10-23,"TARGET T0894 10/23 #000002794 PURCHASE TARGET T0894 JOLI Joliet IL",51.63,"debit","Shopping","Hour Monet 7291"
2012-10-22,"PAYPAL DES:INST XFER ID:4S8226CFBCPPL INDN:EVAN STRATFORD CO ID:PAYPALSI66...",79,"debit","Shopping","my account 0020"
2012-10-22,"CHECKCARD 1021 OWW*ORBITZ.COM 888-656-4546 IL...",13.98,"debit","Air Travel","Hour Monet 7291"
2012-10-22,"SHELL Service 10/20 #000615500 PURCHASE SHELL OAKLAND CA",4.67,"debit","Gas & Fuel","Hour Monet 7291"
2012-10-22,"BKOFAMERICA ATM 10/22 #000008404 WITHDRWL SFO AIRPORT-SOUT SAN...",140,"debit","Cash & ATM","Hour Monet 7291"
2012-10-22,"Check 120",675,"debit","Mortgage & Rent","Hour Monet 7291"
2012-10-22,"BERKELEY BOWL 10/21 #000476500 PURCHASE 2020 OREGON ST. BERKELEY CA",36.44,"debit","Groceries","Hour Monet 7291"
2012-10-22,"Check 119",700,"debit","Mortgage & Rent","Hour Monet 7291"
2012-10-22,"CVS 09941 10/20 #000016459 PURCHASE 09941--1451 Shatt Berkeley CA",30.44,"debit","Pharmacy","Hour Monet 7291"
2012-10-22,"SAFEWAY STORE 10/20 #000697039 PURCHASE 1444 SHATTUCK PLA BERKELEY CA",38.75,"debit","Groceries","Hour Monet 7291"
2012-10-22,"CHECKCARD 1014 CAFFE PARADISO BOSTON MA 24224432294105016659945",12.55,"debit","Shopping","Hour Monet 7291"
2012-10-19,"PIEDMONT THEATRE OAKLAND CA",23,"debit","Movies & DVDs","BankAmericard Cash Rewards Signature Visa"
2012-10-19,"CHECKCARD 1019 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...",19.99,"debit","Shopping","Hour Monet 7291"
2012-10-19,"CHECKCARD 1018 COUPA CAFE GL STANFORD CA 24493982293207099604639",2.5,"debit","Restaurants","Hour Monet 7291"
2012-10-18,"CHECKCARD 1017 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...",4.95,"debit","Shopping","Hour Monet 7291"
2012-10-18,"CHECKCARD 1017 LA BEDAINE BERKELEY CA 24765012292207000000214",12,"debit","Restaurants","Hour Monet 7291"
2012-10-18,"CHECKCARD 1016 CLIPPER SERVICE 877-878-8883 CA...",20,"debit","Public Transportation","Hour Monet 7291"
2012-10-18,"CHECKCARD 1016 CLIPPER SERVICE 877-878-8883 CA...",20,"debit","Public Transportation","Hour Monet 7291"
2012-10-18,"CHECKCARD 1015 IU FOUNDATION 800-5588311 IN 24789302291291067540906",10,"debit","Charity","Hour Monet 7291"
2012-10-17,"BKOFAMERICA ATM 10/17 #000001320 WITHDRWL UNIVERSITY BERKELEY CA",40,"debit","Cash & ATM","Hour Monet 7291"
2012-10-17,"USPS 050642006 10/17 #000006638 PURCHASE 2515 DURANT AVE BERKELEY CA",67.15,"debit","Shipping","Hour Monet 7291"
2012-10-16,"CHECKCARD 1015 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...",9.99,"debit","Shopping","Hour Monet 7291"
2012-10-16,"MONTEREY MARKE 10/16 #000110160 PURCHASE 1550 HOPKINS STRE BERKELEY CA",53.1,"debit","Groceries","Hour Monet 7291"
2012-10-16,"SAFEWAY STORE 10/15 #000710010 PURCHASE 1444 SHATTUCK PLA BERKELEY CA",29.33,"debit","Groceries","Hour Monet 7291"
2012-10-16,"99 RANCH MARKE 10/16 #000700290 PURCHASE 3288 PIERCE STREE RICHMOND CA",34.3,"debit","Groceries","Hour Monet 7291"
2012-10-16,"CHECKCARD 1016 GOGOAIR.COM 877-350-0038 IL 24692162290000242162006",10,"debit","Air Travel","Hour Monet 7291"
2012-10-16,"OFFICE DEPOT 0 10/16 #000021581 PURCHASE 1011 GILMAN STREE BERKELEY CA",25.31,"debit","Office Supplies","Hour Monet 7291"
2012-10-16,"CHECKCARD 1014 NAPA FARMS MAR00002246 SAN FRANCISCOCA...",28.05,"debit","Service & Parts","Hour Monet 7291"
2012-10-15,"CHECKCARD 1014 ZIPCAR INC 866-494-7227 MA 24231682289200005222751",99.88,"debit","Rental Car & Taxi","Hour Monet 7291"
2012-10-15,"CHECKCARD 1012 SQ *ALIVE & KICKING LOB Boston MA 24692162286000260438342",64.85,"debit","Clothing","Hour Monet 7291"
2012-10-15,"SUBWAY CHARLES 10/14 #000007088 PURCHASE 362 CAMBRIDGE STR BOSTON MA",2.5,"debit","Fast Food","Hour Monet 7291"
2012-10-15,"CHECKCARD 1012 BACCOS WINE AND CHEESE BOSTON MA 24755422287732872239830",12.15,"debit","Alcohol & Bars","Hour Monet 7291"
2012-10-15,"CHECKCARD 1011 THE HUNGRY WHALE SALEM MA 24088022286286253838402",48,"debit","Restaurants","Hour Monet 7291"
2012-10-15,"CHECKCARD 1013 WEST CONCORD SUPER WEST CONCORD MA 24224432288104002497632",28.27,"debit","Clothing","Hour Monet 7291"
2012-10-15,"CHECKCARD 1011 ZIPCAR INC 866-494-7227 MA 24231682286200950890019",91.81,"debit","Rental Car & Taxi","Hour Monet 7291"
2012-10-15,"SUBWAY CHARLES 10/14 #000007105 PURCHASE 362 CAMBRIDGE STR BOSTON MA",2.5,"debit","Fast Food","Hour Monet 7291"
2012-10-15,"PAYPAL DES:INST XFER ID:5ST226BSYGU3Q INDN:VALKYRIE SAVAGE CO ID:PAYPALSI66...",986.52,"debit","Shopping","Hour Monet 7291"
2012-10-15,"CHECKCARD 1014 COSI-VIRGIN AMERIC EAST BOSTON MA 24224432289104016182872",17.1,"debit","Air Travel","Hour Monet 7291"
2012-10-12,"CHECKCARD 1011 RUSSELL ORCHARDS IPSWICH MA 24828242285981002158991",16.54,"debit","Alcohol & Bars","Hour Monet 7291"
2012-10-12,"CHECKCARD 1011 PAMPLEMOUSSE SALEM MA 24055232286207000030139",40.9,"debit","Alcohol & Bars","Hour Monet 7291"
2012-10-11,"CHECKCARD 1010 THE CATERED AFFAIR BOSTON MA 24224432285102011836264",9,"debit","Restaurants","Hour Monet 7291"
2012-10-11,"CHECKCARD 1010 MIRACLE OF SCIENCE BAR CAMBRIDGE MA 24055222285207888701076",58,"debit","Alcohol & Bars","Hour Monet 7291"
2012-10-11,"WHOLE FOODS MA 10/11 #000170108 PURCHASE 181 Cambridge Str Boston MA",28.87,"debit","Groceries","Hour Monet 7291"
2012-10-10,"CHECKCARD 1008 HUBWAY PORTLAND OR 24493982284207511600505",10,"debit","Public Transportation","Hour Monet 7291"
2012-10-10,"CHECKCARD 1009 SQ *CLOVER FAST FOOD, I Boston MA 24692162283000406421593",10,"debit","Food & Dining","Hour Monet 7291"
2012-10-10,"BKOFAMERICA ATM 10/10 #000002840 WITHDRWL MBTA-PARK STREET BOSTON MA",40,"debit","Cash & ATM","Hour Monet 7291"
2012-10-10,"CHECKCARD 1008 THE LIBERTY HOTEL BOSTO BOSTON MA 24755422283152838226033",53,"debit","Financial","Hour Monet 7291"
2012-10-10,"CHECKCARD 1009 SQ *CLOVER FAST FOOD, I Boston MA 24692162283000406420744",10,"debit","Food & Dining","Hour Monet 7291"
2012-10-10,"CHECKCARD 1008 MEADHALL CAMBRIDGE MA 24224432284101041431493",18,"debit","Alcohol & Bars","Hour Monet 7291"
2012-10-10,"WHOLE FOODS MA 10/10 #000576959 PURCHASE 181 Cambridge Str Boston MA",10.86,"debit","Groceries","Hour Monet 7291"
2012-10-09,"SUBWAY AIRPORT 10/06 #000008891 PURCHASE 37 LOGAN AIRPORT EAST BOSTON MA",18,"debit","Fast Food","Hour Monet 7291"
2012-10-09,"WHOLE FOODS MA 10/06 #000964149 PURCHASE 181 Cambridge Str Boston MA",66.55,"debit","Groceries","Hour Monet 7291"
2012-10-09,"CHECKCARD 1006 LIFE ALIVE CAMBRIDGE CAMBRIDGE MA 24733092281207599600113",19.15,"debit","Restaurants","Hour Monet 7291"
2012-10-09,"CHECKCARD 1007 GOGOAIR.COM 877-350-0038 IL 24692162281000683505136",8.05,"debit","Air Travel","Hour Monet 7291"
2012-10-09,"CHECKCARD 1007 Ryles CAMBRIDGE MA 24013392282000422950399",18,"debit","Restaurants","Hour Monet 7291"
2012-10-09,"CHECKCARD 1006 APL*APPLE ITUNES STORE 866-712-7753 CA...",4.99,"debit","Music","Hour Monet 7291"
2012-10-09,"Check 131",140.16,"debit","Doctor","Hour Monet 7291"
2012-10-09,"CHECKCARD 1004 ZIPCAR INC 866-494-7227 MA 24231682279200943597142",4,"debit","Rental Car & Taxi","Hour Monet 7291"
2012-10-09,"CHECKCARD 1006 NAPA FARMS MAR00002246 SAN FRANCISCOCA...",19.57,"debit","Service & Parts","Hour Monet 7291"
2012-10-09,"CHECKCARD 1006 L A BURDICK CHOCOLATE CAMBRIDGE MA 24071052281158192936806",10.7,"debit","Restaurants","Hour Monet 7291"
2012-10-09,"CHECKCARD 1006 DEPASQUALE HOMEMADE PAS BOSTON MA 24055222281207506600514",5.95,"debit","Groceries","Hour Monet 7291"
2012-10-09,"CHECKCARD 1005 ZIPCAR INC 866-494-7227 MA 24231682280200891713136",48.12,"debit","Rental Car & Taxi","Hour Monet 7291"
2012-10-09,"RADIO SHACK 10/08 #000269239 PURCHASE 100 CAMBRIDGESIDE CAMBRIDGE MA",6.36,"debit","Electronics & Software","Hour Monet 7291"
2012-10-09,"CHECKCARD 1005 FOTO SHOP BERKELEY CA 24493982280286100400067",10.91,"debit","Service Fee","Hour Monet 7291"
2012-10-09,"CHECKCARD 1007 Ryles CAMBRIDGE MA 24013392282000422949763",18,"debit","Restaurants","Hour Monet 7291"
2012-10-09,"SUBWAY AIRPORT 10/06 #000008845 PURCHASE 37 LOGAN AIRPORT EAST BOSTON MA",18,"debit","Fast Food","Hour Monet 7291"
2012-10-09,"NST SEARS ROEB 10/08 #000002457 PURCHASE 100 CAMBRIDGESIDE CAMBRIDGE MA",20.4,"debit","Shopping","Hour Monet 7291"
2012-10-09,"Check 121",48.64,"debit","Groceries","Hour Monet 7291"
2012-10-09,"CHECKCARD 1007 CAMBRIDGE BREWING CO CAMBRIDGE MA 24492802282118000192552",14.5,"debit","Alcohol & Bars","Hour Monet 7291"
2012-10-09,"CNS H & M 10/08 #000120472 PURCHASE 100 CAMBRIDGESIDE CAMBRIDGE MA",59.9,"debit","Clothing","Hour Monet 7291"
2012-10-09,"CHECKCARD 1004 BAYPORTER EXPRESS 415-4671800 CA 24639232279900018100050",49,"debit","Rental Car & Taxi","Hour Monet 7291"
2012-10-04,"CHECKCARD 1002 CLIPPER SERVICE 877-878-8883 CA...",20,"debit","Public Transportation","Hour Monet 7291"
2012-10-04,"UC Berkeley DES:DIRECT PAY ID:ST23256150 INDN:0000SAVAGE,VALKYRIE AR CO...",2500,"credit","Paycheck","Hour Monet 7291"
2012-10-04,"SAFEWAY STORE 10/04 #000047035 PURCHASE 1444 SHATTUCK PLA BERKELEY CA",65.04,"debit","Groceries","Hour Monet 7291"
2012-10-04,"Angela Savage Bill Payment",150,"debit","Bills & Utilities","Hour Monet 7291"
2012-10-04,"CHECKCARD 1002 CLIPPER SERVICE 877-878-8883 CA...",20,"debit","Public Transportation","Hour Monet 7291"
2012-10-03,"WALGREENS 10/03 #000571040 PURCHASE 2190 SHATTUCK AVE BERKELEY CA",11.95,"debit","Pharmacy","Hour Monet 7291"
2012-10-03,"CHECKCARD 1002 UCB REC SPORTS - SCRA BERKELEY CA 24391212277200753601004",140,"debit","Gym","Hour Monet 7291"
2012-10-02,"CHECKCARD 0930 CAF PATACHOU 20268918 INDIANAPOLIS IN...",27,"debit","Restaurants","Hour Monet 7291"
2012-10-02,"CHECKCARD 0930 DARA CUISINE BERKELEY CA 24789302275275709689106",30.5,"debit","Restaurants","Hour Monet 7291"
2012-10-01,"CHECKCARD 0929 FUDDRUCKERS DULLES VA 24210732274206288000082",17.81,"debit","Restaurants","Hour Monet 7291"
2012-10-01,"CHECKCARD 0930 TOYO JAPANESE RESTAURAN BERKELEY CA 24755422275132751357668",49,"debit","Restaurants","Hour Monet 7291"
2012-10-01,"CHECKCARD 0927 THE PHO BAR BERKELEY CA 24765012272200288400085",10.79,"debit","Alcohol & Bars","Hour Monet 7291"
2012-10-01,"CHECKCARD 0927 CLIPPER SERVICE 877-878-8883 CA...",20,"debit","Public Transportation","Hour Monet 7291"
2012-10-01,"CHECKCARD 0929 SCOTTYS BURGER JOINT COLUMBUS IN 24072802274286699801326",42,"debit","Fast Food","Hour Monet 7291"
2012-10-01,"WAL Wal-Mart S 09/29 #000867200 PURCHASE 3435 WAL-SAMS GREENWOOD IN",40.29,"debit","Shopping","Hour Monet 7291"
2012-10-01,"BERKELEY BOWL 10/01 #000829800 PURCHASE 2020 OREGON ST. BERKELEY CA",37.85,"debit","Groceries","Hour Monet 7291"
2012-10-01,"CHECKCARD 0927 YALIS CAFE BERKELEY CA 24692162272000019545237",3.75,"debit","Restaurants","Hour Monet 7291"
2012-10-01,"CHECKCARD 0928 LIGHT SOURCE CNP 415-621-1448 CA...",14.95,"debit","Gift","Hour Monet 7291"
2012-09-29,"GOOGLE *PAID STORAGE GOOGLE.COM/CHCA",5,"debit","Cooking Classes","BankAmericard Cash Rewards Signature Visa"
2012-09-28,"FACEBOOK INC DES:DIRECT DEP ID:612023773792KYC INDN:STRATFORD,EVAN...",2895.19,"credit","Paycheck","my account 0020"
2012-09-28,"CHECKCARD 0926 LIGHT SOURCE 415-621-1448 CA 24692162271000787747875",332.01,"debit","Gift","Hour Monet 7291"
2012-09-28,"BKOFAMERICA ATM 09/28 #000008379 DEPOSIT 4TH & KING - CAL SAN FRANCISCO CA",1642.85,"credit","Income","Hour Monet 7291"
2012-09-28,"CHECKCARD 0927 ONSITE HAIRCUTS LLC SANTA CLARA CA 24755422271172716981370",24,"debit","Hair","Hour Monet 7291"
2012-09-28,"BKOFAMERICA ATM 09/28 #000008380 WITHDRWL 4TH & KING - CAL SAN...",40,"debit","Cash & ATM","Hour Monet 7291"
2012-09-27,"ONLINE PAYMENT FROM CHK 0",252.74,"credit","Credit Card Payment","BankAmericard Cash Rewards Signature Visa"
2012-09-27,"Online Banking transfer to CHK 7291 Confirmation# 0673050923",10419.48,"debit","Transfer","my account 0020"
2012-09-27,"Online Banking payment to CRD 0264 Confirmation# 2573048951",252.74,"debit","Credit Card Payment","my account 0020"
2012-09-27,"UCB E-PAYMENT DES:5106423190 ID:245839514 INDN:VALKYRIE SAVAGE CO...",70.5,"debit","Credit Card Payment","Hour Monet 7291"
2012-09-27,"PAYPAL DES:ECHECK ID:5ST226A6JP3YU INDN:VALKYRIE SAVAGE CO ID:PAYPALEC77...",1350,"debit","Shopping","Hour Monet 7291"
2012-09-27,"Online Banking transfer from CHK 0020 Confirmation# 0673050923",10419.48,"credit","Transfer","Hour Monet 7291"
2012-09-26,"BKOFAMERICA ATM 09/26 #000005530 WITHDRWL 24TH & BRYANT SAN FRANCISCO...",20,"debit","Cash & ATM","Hour Monet 7291"
2012-09-26,"CHECKCARD 0924 CLIPPER SERVICE 877-878-8883 CA...",20,"debit","Public Transportation","Hour Monet 7291"
2012-09-26,"Angela Savage Bill Payment",30,"debit","Bills & Utilities","Hour Monet 7291"
2012-09-26,"CHECKCARD 0924 CRUNCH BERKELEY BERKELEY CA 24765182269980000648733",23,"debit","Restaurants","Hour Monet 7291"
2012-09-26,"CHECKCARD 0924 CLIPPER SERVICE 877-878-8883 CA...",20,"debit","Public Transportation","Hour Monet 7291"
2012-09-25,"Interest Charged on Dir Dep&Chk CashAdv C_BANKCHARGES",0,"credit","Interest Income","BankAmericard Cash Rewards Signature Visa"
2012-09-25,"MOO INC PRINTING WWW.MOO.COM RI",69.74,"debit","Printing","BankAmericard Cash Rewards Signature Visa"
2012-09-25,"Interest Charged on Bank Cash Advances C_BANKCHARGES",0,"credit","Interest Income","BankAmericard Cash Rewards Signature Visa"
2012-09-25,"Interest Charged on Purchases C_BANKCHARGES",0,"credit","Interest Income","BankAmericard Cash Rewards Signature Visa"
2012-09-25,"Interest Charged on Balance Transfers C_BANKCHARGES",0,"credit","Interest Income","BankAmericard Cash Rewards Signature Visa"
2012-09-25,"CHECKCARD 0924 VZWRLSS*ETMWPN0W233601 800-922-0204 NJ...",194.41,"debit","Mobile Phone","Hour Monet 7291"
2012-09-24,"BERKELEY BOWL 09/24 #000439000 PURCHASE 2020 OREGON ST. BERKELEY CA",18.65,"debit","Groceries","Hour Monet 7291"
2012-09-24,"CHECKCARD 0920 PROGRESSIVE GROUNDS 2 SAN FRANCISCOCA 24323002265123969010095",19,"debit","Auto Insurance","Hour Monet 7291"
2012-09-24,"CHECKCARD 0922 MINAKO ORGANIC JAPANESE SAN FRANCISCOCA...",80,"debit","Restaurants","Hour Monet 7291"
2012-09-24,"CHECKCARD 0920 ZIPCAR INC 866-494-7227 MA 24231682265200538853245",50.05,"debit","Rental Car & Taxi","Hour Monet 7291"
2012-09-24,"MONTEREY MARKE 09/23 #000008535 PURCHASE 1550 HOPKINS STRE BERKELEY CA",17.36,"debit","Groceries","Hour Monet 7291"
2012-09-24,"CHECKCARD 0921 NORTHSIDE CAFE BERKELEY CA 24275392265900013700422",19,"debit","Restaurants","Hour Monet 7291"
2012-09-21,"Online scheduled transfer from CHK 7291 Confirmation# 4323144992",2100,"credit","Transfer","my account 0020"
2012-09-21,"BKOFAMERICA ATM 09/21 #000009080 WITHDRWL SHATTUCK-VINE BERKELEY CA",40,"debit","Cash & ATM","Hour Monet 7291"
2012-09-21,"CHECKCARD 0919 AJANTA RESTAURANT BERKELEY CA 24122472264900016000180",41.5,"debit","Restaurants","Hour Monet 7291"
2012-09-21,"CNS ANDRONICOS 09/21 #000065549 PURCHASE 1550 SHATTUCK AVE BERKELEY CA",49.55,"debit","Groceries","Hour Monet 7291"
2012-09-21,"Online scheduled transfer to CHK 0020 Confirmation# 4323144992",2100,"debit","Transfer","Hour Monet 7291"
2012-09-20,"Interest Charged on Bank Cash Advances C_BANKCHARGES",0,"credit","Interest Income","Indiana University Alumni Association Inc. MasterCard"
2012-09-20,"Interest Charged on Purchases C_BANKCHARGES",0,"credit","Interest Income","Indiana University Alumni Association Inc. MasterCard"
